id,date,year,listing_comment_count,listing_activity,comments_clean
1515391211526336433,2025-09-21,2025,25,High,Great stay!
1515401818343166468,2025-09-21,2025,25,High,"This place is in a great location between Melrose Avenue and Beverly Boulevard. The area is very quiet and safe. The apartment could use some updating, primarily in the bathrooms. The air conditioning units are extremely loud. There was a lot of clutter in the kitchen, and not many utensils or adequate cookware. We found unfolded linens and general messiness, where things were just thrown into closed spaces, while the listing pictures show a tidy place."
1411072183934080304,2025-04-30,2025,37,High,Lovely studio and bathroom. Flawless except for having no heat during very cold weather in LA. The host provided a space heater which did help. But the HVAC in the wall would not heat above 68°.
1556801168890631918,2025-11-17,2025,39,High,"Enjoyed my stay, had no problems."
1527802388479376167,2025-10-08,2025,21,High,"Place was great for our daughter who stayed there. Comfortable, safe and convenient. Would stay again."
1459627165734077049,2025-07-06,2025,410,Very high,"Modern building with nice decor. A really comfortable bed and the room was quiet when I stayed. A large bathroom with a great hot shower. A small fridge, microwave and coffee facilities are provided. However, there was no seat and therefore nowhere to drink and eat except on the bed, which always makes me nervous I’ll spill something. Self check-in is pretty straightforward. There was 16 steps up to the room, but at least it was wide and had handrails to help with carrying heavy luggage."
1325642778382197658,2025-01-02,2025,98,Very high,Nasser was very responsive and gave very easy to follow instructions. Really nice to have a parking spot in the garage. Walkable to many restaurants and shops.
1387882666064240110,2025-03-29,2025,93,Very high,Sarah & Mike are such lovely people and their space is so great. I was in LA for work and really did look forward to coming back at the end of the day to cook a meal and rest. I’ll definitely stay here again next time I’m in town.
1530693169689548623,2025-10-12,2025,71,Very high,We loved staying at Kevin’s place. It was so peaceful and quiet and very comfortable. Kevin would answer right away when I would msg him. Would definitely recommend and stay there again.
1384233807320731943,2025-03-24,2025,60,Very high,"this location is quite charming and very romantic, and is as advertised. there are elements that do fit into the glamorized camping category as this is not a traditional hotel type environment, but everything is as stated and if you are interested in the things provided in the listing, you will like your time here as well. very close to the main hub of Topanga canyon. while we didn't have hot water when we arrived, we let David know and they fixed it as fast as they could to make sure that we were comfortable. very good communication and never felt misrepresented."
1438661436000297857,2025-06-07,2025,65,Very high,John’s place was cozy and just as described. It had everything necessary for a home away from home. We stayed 2 1/2 months and were quite pleased. The location felt safe and was walkable to nearby shopping and dining. It was close to the airport for work and travel. <br/>The space was well organized and efficient. We cooked the majority of our meals and kitchen was more than adequate. The host was attentive and we lacked for nothing. We can’t say enough good things about the place.
1551700362069927683,2025-11-10,2025,71,Very high,"Great place, perfect for large groups. The kids had a great time because they could sleep in bunk beds together."
1471972887376661352,2025-07-23,2025,61,Very high,"Nuestra estadía en el alojamiento fue agradable, en general todo de buena calidad y funcionando. Tuvimos problemas puntuales con nuestra llegada ya que la dirección del alojamiento estaba errada por lo que llegamos a otra casa (tuvimos que caminar como 15 min con las maletas para llegar a la casa correcta) y al llegar no habían instrucciones con el wifi, cubiertos ni ropa de cama para la segunda cama. A pesar de que Posh respondió y solucionó los problemas no fue buena experiencia. Por otro lado, la ducha del baño esta tapada y fue muy poco higiénico bañarse 3 personas en una ducha tapada. <br/>El barrio es tranquilo, no muy cercano ni walking distance a comercio, pero para nosotras estaba bien porque ibamos por ahí cerca."
1479225024265764976,2025-08-02,2025,75,Very high,"Violet was an amazing host! The place was clean, cozy, and just as described in the listing. We had everything we needed for a comfortable stay, and Violet was super responsive and kind throughout. Bonus points for the adorable kitty—we loved meeting her! Would definitely stay here again. Thanks so much, Violet!"
1436502550333668951,2025-06-04,2025,133,Very high,"We got a deal on this as a last minute booking and Kira even let us in early, literally 20 minutes after we booked! The house is immaculate, the bed is a divine cloud, the back yard is so sweet, the lighting is perfect everywhere. The kitchen is incredibly well stocked. It really is just a perfect airbnb. Highly recommend."
